ID,Ime,Nacionalnost,Letnica_rojstva,Visina,Klub,Drugi_klub,G,GS,Min,Tocke,DvaFG,TriFG,FT
004007,"DOBRIC, OGNJEN",Serbia,1994,2.00,Crvena Zvezda mts Belgrade,,13,0,5:16,1.6,70%,16.7%,33.3%
KLT,"HEURTEL, THOMAS",France,1989,1.89,Anadolu Efes Istanbul,,35,6,26:17,12.7,50.4%,33.7%,86.7%
002100,"DE COLO, NANDO",France,1987,1.96,CSKA Moscow,,28,23,27:03,19.1,55.4%,42.6%,95.9%
005159,"GREEN, ERICK",United States of America,1992,1.90,Olympiacos Piraeus,,36,4,20:29,9.9,47.1%,40%,81.7%
006385,"PASCOLO, DAVIDE",Italy,1990,2.03,EA7 Emporio Armani Milan,,22,6,15:12,6.3,64.8%,16.7%,84.2%
CCD,"DATOME, LUIGI",Italy,1987,2.03,Fenerbahce Istanbul,,33,21,23:38,9.2,42.2%,46.6%,94.4%
002980,"GIST, JAMES",United States of America,1986,2.06,Panathinaikos Superfoods Athens,,15,14,22:49,8.5,61.7%,16.7%,63.3%
000556,"CLAVER, VICTOR",Spain,1988,2.07,FC Barcelona Lassa,,27,19,21:59,6,54.1%,37.7%,77.8%
005929,"DONCIC, LUKA",Slovenia,1999,1.99,Real Madrid,,35,15,19:53,7.8,50.5%,37.1%,84.4%
005094,"THOMAS, DESHAUN",United States of America,1991,2.01,Anadolu Efes Istanbul,,35,0,14:20,7.3,51%,32.8%,80.6%
004888,"CLYBURN, WILL",United States of America,1990,2.01,Darussafaka Dogus Istanbul,,34,26,28:09,13,46.7%,28.9%,68.5%
003703,"NIKOLIC, ALEKSEJ",Slovenia,1995,1.91,Brose Bamberg,,10,1,10:22,3.3,41.7%,28.6%,100%
ABN,"ZISIS, NIKOS",Greece,1983,1.97,Brose Bamberg,,30,24,24:04,7.7,43.6%,28.8%,91.3%
002276,"KULAGIN, MIKHAIL",Russian Federation,1994,1.91,CSKA Moscow,,7,0,5:21,3.6,50%,41.7%,80%
004218,"CHARALAMPOPOULOS, VASILIS",Greece,1997,2.02,Panathinaikos Superfoods Athens,,7,2,4:12,0.6,40%,0%,0%
LHK,"PLEISS, TIBOR",Germany,1989,2.18,Galatasaray Odeabank Istanbul,,28,20,17:07,7.7,56.7%,40%,76.5%
BWI,"JANKUNAS, PAULIUS",Lithuania,1984,2.05,Zalgiris Kaunas,,30,30,23:38,13,54.8%,39.6%,86.8%
006195,"ALEXANDER, JOE",Israel,1986,2.03,Maccabi FOX Tel Aviv,,17,5,11:04,3.8,47.4%,63.6%,77.8%
BMT,"FERNANDEZ, RUDY",Spain,1985,1.96,Real Madrid,,32,7,23:21,6.5,37.7%,32.3%,75%
005757,"RANDOLPH, ANTHONY",United States of America,1989,2.11,Real Madrid,,34,15,21:11,10.2,56%,36.7%,77.8%
007616,"KIRK, ALEX",United States of America,1991,2.11,Anadolu Efes Istanbul,,16,0,9:58,3.4,55%,0%,66.7%
KPD,"MILAKNIS, ARTURAS",Lithuania,1986,1.95,Zalgiris Kaunas,,30,8,21:06,7.3,47.4%,38.6%,76.2%
005881,"GABRIEL, KENNY",United States of America,1989,2.05,Panathinaikos Superfoods Athens,,23,12,15:33,5.2,52.3%,40.8%,77.8%
005927,"AYON, GUSTAVO",Mexico,1985,2.08,Real Madrid,,36,36,20:39,9.8,69.9%,0%,48.5%
001133,"SHENGELIA, TORNIKE",Georgia,1991,2.03,Baskonia Vitoria Gasteiz,,24,13,20:48,10.8,50.6%,54.2%,77.8%
LHI,"VORONTSEVICH, ANDREY",Russian Federation,1987,2.07,CSKA Moscow,,35,21,19:52,7.3,50.6%,47.7%,52%
LRU,"SIMONOVIC, MARKO",Serbia,1986,2.03,Crvena Zvezda mts Belgrade,,30,3,26:43,12.6,54.9%,39%,82.4%
006661,"WILBEKIN, SCOTTIE",United States of America,1993,1.88,Darussafaka Dogus Istanbul,,31,17,25:10,11.6,47.5%,40.4%,87%
004588,"PENO, STEFAN",Serbia,1997,1.94,FC Barcelona Lassa,,10,0,4:48,1.1,40%,33.3%,100%
007759,"MUNFORD, XAVIER",United States of America,1992,1.90,FC Barcelona Lassa,,5,0,6:46,1,16.7%,33.3%,0%
006360,"KLIMENKO, ARTEM",Russian Federation,1994,2.14,Unics Kazan,,9,1,5:00,1.2,27.3%,0%,83.3%
002753,"YIVZORI, DAGAN",Israel,1985,1.93,Maccabi FOX Tel Aviv,,1,0,0:04,0,0%,0%,0%
007615,"BENNETT, ANTHONY",Canada,1993,2.03,Fenerbahce Istanbul,,10,4,6:22,1.2,37.5%,18.2%,0%
000497,"YAGMUR, MEHMET",Turkey,1987,1.88,Darussafaka Dogus Istanbul,,12,3,2:27,0.3,0%,20%,0%
004863,"JOVIC, STEFAN",Serbia,1990,1.98,Crvena Zvezda mts Belgrade,,23,23,23:53,7.5,49.5%,29.1%,61.3%
004429,"AGRAVANIS, DIMITRIOS",Greece,1994,2.08,Olympiacos Piraeus,,25,3,11:14,3.6,47.5%,22.9%,80%
AAX,"REYES, FELIPE",Spain,1980,2.04,Real Madrid,,31,18,12:20,5.3,49.5%,33.3%,82.1%
006546,"TAYLOR, JEFFERY",Sweden,1989,2.01,Real Madrid,,30,22,15:30,4.6,61.2%,39.2%,66.7%
KJP,"MEKEL, GAL",Israel,1988,1.92,Maccabi FOX Tel Aviv,,24,10,15:57,4.5,39.7%,40%,60.6%
JDU,"RADULJICA, MIROSLAV",Serbia,1988,2.13,EA7 Emporio Armani Milan,,29,23,15:32,8.1,52%,0%,80.6%
003443,"WEEMS, SONNY",United States of America,1986,1.98,Maccabi FOX Tel Aviv,,19,16,27:03,11.6,58.5%,32.7%,70.3%
002026,"ANTIPOV, PAVEL",Russian Federation,1991,2.02,Unics Kazan,,28,9,18:43,5.7,48.6%,50.7%,64.3%
005984,"YOUNG, PATRIC",United States of America,1992,2.09,Olympiacos Piraeus,,30,1,9:36,2.7,50%,0%,61.5%
006450,"HIGGINS, CORY",United States of America,1989,1.96,CSKA Moscow,,32,7,20:22,9.5,49.3%,40.3%,87.9%
BWZ,"BARGNANI, ANDREA",Italy,1985,2.13,Baskonia Vitoria Gasteiz,,15,5,16:02,8.8,50%,30.4%,75%
BVE,"JAVTOKAS, ROBERTAS",Lithuania,1980,2.11,Zalgiris Kaunas,,17,5,7:18,2.3,60.7%,0%,62.5%
004941,"ANTONOV, SEMEN",Russian Federation,1989,2.02,CSKA Moscow,,28,3,8:44,2.1,38.1%,53.8%,100%
001833,"MOERMAN, ADRIEN",France,1988,2.01,Darussafaka Dogus Istanbul,,33,21,21:43,8.1,45%,33.3%,76.9%
005942,"DANGUBIC, NEMANJA",Serbia,1993,2.04,Crvena Zvezda mts Belgrade,,24,24,19:20,5.3,44.9%,29.6%,84.2%
004903,"GOUDELOCK, ANDREW",United States of America,1988,1.91,Maccabi FOX Tel Aviv,,20,16,28:40,17.3,54.5%,45.8%,91.3%
003034,"PARAKHOUSKI, ARTSIOM",Belarus,1987,2.11,Unics Kazan,,29,28,21:19,11.3,62%,0%,78.7%
003472,"DAYE, AUSTIN",United States of America,1988,2.11,Galatasaray Odeabank Istanbul,,25,14,18:30,8.7,43.6%,45.2%,87.8%
003048,"DUNSTON, BRYANT",United States of America,1986,2.03,Anadolu Efes Istanbul,,35,34,28:57,10.7,55.3%,0%,67.9%
003452,"BLAZIC, JAKA",Slovenia,1990,1.96,Baskonia Vitoria Gasteiz,,33,7,13:38,4.7,40.5%,38.7%,56%
006614,"SINGLETON, CHRIS",United States of America,1989,2.06,Panathinaikos Superfoods Athens,,33,29,28:14,12,54.1%,43.6%,74.8%
007148,"AYRES, JEFF",United States of America,1987,2.06,CSKA Moscow,,4,2,9:11,6,50%,0%,87.5%
004554,"ZIZIC, ANTE",Croatia,1997,2.10,Darussafaka Dogus Istanbul,,20,17,21:51,9,64.9%,0%,64.3%
005099,"HANGA, ADAM",Hungary,1989,2.01,Baskonia Vitoria Gasteiz,,33,30,28:01,10.5,53%,33.6%,66.7%
002429,"RIVERS, KC",United States of America,1987,1.96,Panathinaikos Superfoods Athens,,33,5,27:39,11.2,48.8%,42%,78%
007121,"COTTON, BRYCE",United States of America,1992,1.85,Anadolu Efes Istanbul,,10,10,18:16,8,47.2%,37.5%,90.9%
000529,"MICOV, VLADIMIR",Serbia,1985,2.01,Galatasaray Odeabank Istanbul,,29,26,29:08,11.2,41.1%,43.2%,76.9%
004499,"FONTECCHIO, SIMONE",Italy,1995,2.03,EA7 Emporio Armani Milan,,10,2,11:44,3.3,46.2%,41.2%,0%
001932,"CALATHES, NICK",Greece,1989,1.98,Panathinaikos Superfoods Athens,,33,33,27:10,9.8,49.1%,24.6%,50%
000659,"SLAUGHTER, MARCUS",United States of America,1985,2.04,Darussafaka Dogus Istanbul,,13,3,15:08,3.2,57.7%,0%,57.1%
APR,"NOCIONI, ANDRES",Italy,1979,2.03,Real Madrid,,15,0,6:36,2.4,37.5%,26.9%,60%
007201,"VOIGTMANN, JOHANNES",Germany,1992,2.14,Baskonia Vitoria Gasteiz,,33,24,23:26,10.1,64.4%,31.5%,73.1%
004292,"TOLIOPOULOS, VASSILIS",Greece,1996,1.88,Olympiacos Piraeus,,4,0,0:37,0.8,0%,33.3%,0%
003514,"DRAGIC, ZORAN",Slovenia,1989,1.96,EA7 Emporio Armani Milan,,23,14,19:12,7,54.2%,29.6%,72.7%
003151,"ERIKSSON, MARCUS",Sweden,1993,2.01,FC Barcelona Lassa,,22,3,9:52,2,25%,35.3%,0%
004161,"SEGEV, ITAY",Israel,1995,2.04,Maccabi FOX Tel Aviv,,7,0,8:22,2.7,63.6%,0%,71.4%
004183,"ZIRBES, MAIK",Germany,1990,2.07,Maccabi FOX Tel Aviv,,15,2,15:19,8.1,68.2%,0%,78%
004223,"WATERS, DOMINIC",United States of America,1986,1.85,Olympiacos Piraeus,,21,0,10:42,4.1,56%,31.6%,92.3%
005713,"KURUCS, RODIONS",Latvia,1998,2.06,FC Barcelona Lassa,,1,0,3:20,2,100%,0%,0%
004259,"WILLIAMS, LATAVIOUS",United States of America,1989,2.03,Unics Kazan,,30,1,17:19,6.9,59.9%,0%,72.7%
003024,"GRANGER, JAYSON",Italy,1989,1.89,Anadolu Efes Istanbul,,35,32,25:27,9.7,46.3%,32.7%,75.3%
006668,"STOLL, PAUL",Mexico,1985,1.80,Unics Kazan,,14,5,15:47,3.6,25%,35.1%,75%
007200,"LARKIN, SHANE",United States of America,1992,1.80,Baskonia Vitoria Gasteiz,,33,33,28:54,13.1,45%,34.3%,79.7%
002553,"MITROVIC, LUKA",Serbia,1993,2.05,Crvena Zvezda mts Belgrade,,28,27,15:42,4.1,50.5%,16.7%,53.6%
LIM,"HERSEK, BARIS",Turkey,1988,2.08,Fenerbahce Istanbul,,3,0,3:56,1.3,66.7%,0%,0%
006594,"KARPUKHIN, ALEKSANDR",Russian Federation,1990,1.91,Unics Kazan,,1,0,8:22,3,0%,50%,0%
004300,"KORKMAZ, CAN",Turkey,1992,1.87,Galatasaray Odeabank Istanbul,,10,0,7:55,3.4,50%,40%,75%
004945,"PAUL, BRANDON",United States of America,1991,1.93,Anadolu Efes Istanbul,,23,14,17:18,8.6,34%,41.5%,70.3%
003367,"RICE, TYRESE",United States of America,1987,1.85,FC Barcelona Lassa,,30,30,29:37,13,42.7%,32%,82.2%
006599,"MOTUM, BROCK",Australia,1990,2.08,Zalgiris Kaunas,,30,0,23:06,10.8,57.9%,46.2%,70.9%
005763,"KORKMAZ, FURKAN",Turkey,1997,2.02,Anadolu Efes Istanbul,,2,0,6:58,1,25%,0%,0%
007394,"AKOGNON, JOSH",United States of America,1986,1.80,Baskonia Vitoria Gasteiz,,5,1,11:31,3.8,71.4%,21.4%,0%
006433,"PANGOS, KEVIN",Slovenia,1993,1.88,Zalgiris Kaunas,,30,30,20:48,8.7,28.4%,45.7%,86.2%
AQU,"BOUROUSIS, IOANNIS",Greece,1983,2.15,Panathinaikos Superfoods Athens,,33,7,18:11,7.8,44.2%,29.1%,78.8%
000046,"STRELNIEKS, JANIS",Latvia,1989,1.91,Brose Bamberg,,22,5,25:04,11.7,58.1%,45.9%,89.2%
003508,"DORSEY, JOEY",United States of America,1983,2.03,FC Barcelona Lassa,,17,0,17:10,5.5,54.8%,0%,56.8%
001438,"AUGUSTINE, JAMES",United States of America,1984,2.08,CSKA Moscow,,34,6,16:22,6,67.2%,33.3%,57.8%
JCC,"MACIULIS, JONAS",Lithuania,1985,1.98,Real Madrid,,29,27,16:43,6.1,55.8%,50%,72%
004997,"DIEBLER, JON",United States of America,1988,1.98,Galatasaray Odeabank Istanbul,,29,2,18:59,6.5,40%,53.8%,85.7%
005618,"SIMANIC, BORISA",Serbia,1998,2.09,Crvena Zvezda mts Belgrade,,3,2,5:36,0.7,33.3%,0%,0%
JUG,"RIBAS, PAU",Spain,1987,1.94,FC Barcelona Lassa,,2,0,9:55,4.5,0%,50%,0%
005001,"SANDERS, RAKIM",United States of America,1989,1.96,EA7 Emporio Armani Milan,,24,11,22:49,12.5,52.4%,40.6%,66.7%
000880,"GENTILE, ALESSANDRO",Italy,1992,2.01,Panathinaikos Superfoods Athens,,18,16,18:00,7,46.1%,21.1%,48.8%
006421,"MILLER, DARIUS",United States of America,1990,2.03,Brose Bamberg,,30,19,27:08,12.2,52%,41.1%,88.9%
AMM,"PRINTEZIS, GEORGIOS",Greece,1985,2.05,Olympiacos Piraeus,,32,32,25:23,12.8,48.5%,40.3%,70%
006503,"UDOH, EKPE",United States of America,1987,2.08,Fenerbahce Istanbul,,31,22,32:01,12.1,58.6%,0%,64.4%
JPF,"SAVAS, OGUZ",Turkey,1987,2.13,Darussafaka Dogus Istanbul,,8,0,6:25,2.4,60%,0%,100%
000464,"PAPPAS, NIKOS",Greece,1990,1.95,Panathinaikos Superfoods Athens,,29,2,17:13,5.5,54.2%,26%,76.4%
003469,"VEZENKOV, SASHA",Bulgaria,1995,2.06,FC Barcelona Lassa,,30,6,18:23,7.5,67.6%,47.9%,84.8%
000436,"BERTANS, DAIRIS",Latvia,1989,1.92,Darussafaka Dogus Istanbul,,32,7,16:04,6.4,42.9%,50%,83.6%
001255,"PAPANIKOLAOU, KOSTAS",Greece,1990,2.04,Olympiacos Piraeus,,37,32,23:16,8.1,52%,31.6%,82.6%
005918,"FELDEINE, JAMES",United States of America,1988,1.93,Panathinaikos Superfoods Athens,,33,29,19:53,6.7,44%,37.8%,60.9%
003941,"MILUTINOV, NIKOLA",Serbia,1994,2.13,Olympiacos Piraeus,,36,15,12:41,4.4,58.5%,0%,69.2%
001633,"LUZ, RAFA",Spain,1992,1.88,Baskonia Vitoria Gasteiz,,32,0,7:47,2.2,55.6%,50%,66.7%
005348,"ARNA, EGEHAN",Turkey,1997,2.03,Fenerbahce Istanbul,,1,0,1:09,0,0%,0%,0%
006555,"WOLTERS, NATE",United States of America,1991,1.93,Crvena Zvezda mts Belgrade,,27,1,15:04,7.1,45.8%,38%,78.1%
001215,"FAVERANI, VITOR",Spain,1988,2.10,FC Barcelona Lassa,,9,1,15:29,7.7,63.2%,14.3%,81.8%
JYB,"ERDEN, SEMIH",Turkey,1986,2.10,Darussafaka Dogus Istanbul,,10,9,14:44,4,50%,0%,28.6%
001887,"LANGFORD, KEITH",United States of America,1983,1.93,Unics Kazan,,28,28,34:01,21.8,43.1%,36.3%,83.2%
006435,"LAPROVITTOLA, NICOLAS",Argentina,1990,1.90,Baskonia Vitoria Gasteiz,,14,0,9:12,2.7,33.3%,22.6%,83.3%
004160,"LANDESBERG, SYLVEN",Israel,1990,1.98,Maccabi FOX Tel Aviv,,23,3,15:23,7,44.9%,43.9%,65.8%
004664,"VALINSKAS, PAULIUS",Lithuania,1995,1.91,Zalgiris Kaunas,,5,0,1:43,1.2,100%,0%,100%
CBX,"PRIGIONI, PABLO",Spain,1977,,Baskonia Vitoria Gasteiz,,3,0,8:44,0,0%,0%,0%
004159,"HICKMAN, RICKY",United States of America,1985,1.89,EA7 Emporio Armani Milan,,30,20,24:58,10.1,41.9%,34.9%,80.2%
004088,"OSMAN, CEDI",Turkey,1995,2.04,Anadolu Efes Istanbul,,35,34,18:33,7.1,47.7%,34%,78.7%
002507,"TOMIC, ANTE",Croatia,1987,2.17,FC Barcelona Lassa,,29,28,21:49,8.8,52.8%,0%,49.5%
004222,"OMIC, ALEN",Slovenia,1992,2.16,Anadolu Efes Istanbul,,17,1,8:14,2.9,55%,0%,37.5%
000956,"ANDUSIC, DANILO",Serbia,1991,1.95,Unics Kazan,,8,1,15:07,5,41.2%,31.6%,72.7%
LQV,"MUTAF, MAXIM",Turkey,1991,1.93,Anadolu Efes Istanbul,,11,0,6:31,1.9,0%,41.2%,0%
JUO,"SPANOULIS, VASSILIS",Greece,1982,1.93,Olympiacos Piraeus,,33,32,26:47,12.6,47.9%,31.5%,75.9%
LOO,"FREELAND, JOEL",United Kingdom,1987,2.10,CSKA Moscow,,15,4,5:17,1.5,52.9%,0%,38.5%
000357,"SCHILB, BLAKE",United States of America,1983,2.01,Galatasaray Odeabank Istanbul,,27,19,25:33,9.3,59.4%,31%,87%
000494,"GULER, SINAN",Turkey,1983,1.92,Galatasaray Odeabank Istanbul,,30,29,29:02,10.5,45.6%,34.1%,69.2%
007427,"BUDINGER, CHASE",United States of America,1988,2.01,Baskonia Vitoria Gasteiz,,29,16,18:53,6.8,58.4%,32.8%,85.2%
006641,"TUREN, METIN",Turkey,1994,2.06,Darussafaka Dogus Istanbul,,1,0,0:05,0,0%,0%,0%
003527,"ABASS, AWUDU",Italy,1993,1.98,EA7 Emporio Armani Milan,,23,11,16:01,4.6,41.9%,42.1%,84%
007032,"LO, MAODO",Germany,1992,1.91,Brose Bamberg,,26,2,10:52,5.3,50%,42%,66.7%
002821,"BOGDANOVIC, BOGDAN",Serbia,1992,1.97,Fenerbahce Istanbul,,22,17,27:56,14.6,56.9%,43%,85.5%
001926,"SLOUKAS, KOSTAS",Greece,1990,1.90,Fenerbahce Istanbul,,29,14,26:08,9.2,45.4%,42.9%,87%
007595,"FITIPALDO , BRUNO",Italy,1991,1.84,Galatasaray Odeabank Istanbul,,16,6,14:04,5.4,48.1%,42.1%,85.7%
007768,"LEVI, NIMROD",Israel,1995,2.08,Maccabi FOX Tel Aviv,,5,0,4:19,2.2,50%,75%,0%
007199,"COONEY, TREVOR",United States of America,1992,1.93,Baskonia Vitoria Gasteiz,,1,0,5:19,0,0%,0%,0%
003608,"LOJESKI, MATT",Belgium,1985,1.98,Olympiacos Piraeus,,26,2,21:25,9.9,56.5%,42%,82.7%
007400,"NUNNALLY, JAMES",United States of America,1990,2.01,Fenerbahce Istanbul,,34,11,17:54,5.6,43.2%,45.1%,87%
005193,"DENTMON, JUSTIN",United States of America,1985,1.83,Galatasaray Odeabank Istanbul,,8,2,20:24,12.3,48.4%,40%,82.4%
006399,"DUVERIOGLU, AHMET",Turkey,1993,2.09,Fenerbahce Istanbul,,9,0,6:40,3.3,81.3%,0%,66.7%
004902,"HARANGODY, LUKE",United States of America,1988,2.03,Darussafaka Dogus Istanbul,,29,6,12:50,3.8,60.5%,45.9%,60%
002543,"WESTERMANN, LEO",France,1992,1.98,Zalgiris Kaunas,,30,27,25:10,8.2,49.1%,34.4%,88.6%
ADI,"NAVARRO, JUAN CARLOS",Spain,1980,1.92,FC Barcelona Lassa,,16,8,15:25,5.7,36.8%,28.6%,93.8%
BEZ,"FOTSIS, ANTONIS",Greece,1981,2.09,Panathinaikos Superfoods Athens,,24,4,12:15,2.1,53.3%,32.3%,80%
005154,"IVERSON, COLTON",United States of America,1989,2.13,Maccabi FOX Tel Aviv,,30,24,20:36,8,61.3%,0%,57.1%
000399,"KAVALIAUSKAS, ANTANAS",Lithuania,1984,2.08,Zalgiris Kaunas,,29,6,11:43,5.5,64.9%,0%,84.6%
TFH,"PRELDZIC, EMIR",Turkey,1987,2.06,Galatasaray Odeabank Istanbul,,18,3,16:13,5.1,39.5%,38.5%,68.4%
007423,"MINCHEV, YORDAN",Bulgaria,1998,2.02,Fenerbahce Istanbul,,2,0,8:05,0,0%,0%,0%
LEM,"RADOSEVIC, LEON",Germany,1990,2.08,Brose Bamberg,,28,21,16:07,6.1,55.8%,0%,63.4%
007050,"CLARKE, COTY",United States of America,1992,2.01,Unics Kazan,,14,9,21:47,6.1,39.3%,38.1%,85.7%
006476,"DIAGNE, MOUSSA",Senegal,1994,2.11,FC Barcelona Lassa,,8,1,9:50,2.6,38.5%,0%,61.1%
001098,"LIMA, AUGUSTO",Spain,1991,2.08,Zalgiris Kaunas,,30,19,14:52,4.6,57.4%,0%,48.9%
004290,"ATHINAIOU, IOANNIS",Greece,1988,1.93,Olympiacos Piraeus,,9,0,4:40,0.3,25%,0%,50%
LUO,"LAZIC, BRANKO",Serbia,1989,1.95,Crvena Zvezda mts Belgrade,,30,6,23:37,4.4,58.3%,36.8%,57.1%
003413,"JACKSON, AARON",United States of America,1986,1.90,CSKA Moscow,,34,29,21:39,7.6,54.2%,47.7%,73.5%
KNO,"SEIBUTIS, RENALDAS",Lithuania,1985,1.96,Zalgiris Kaunas,,30,9,12:29,2.5,40.8%,20.8%,76%
007765,"SIMPSON, DIAMON",United States of America,1987,2.03,Maccabi FOX Tel Aviv,,6,2,20:09,9.2,61%,0%,33.3%
JUP,"KAIMAKOGLOU, KOSTAS",Greece,1983,2.06,Unics Kazan,,19,17,23:04,4.7,48.8%,28.6%,78.6%
003521,"BALBAY, DOGUS",Turkey,1989,1.85,Anadolu Efes Istanbul,,28,8,9:49,1.9,47.1%,30.4%,33.3%
